Category: All categories

Week,diet: (United States)
2013-05-26,76
2013-06-02,77
2013-06-09,76
2013-06-16,72
2013-06-23,74
2013-06-30,68
2013-07-07,76
2013-07-14,72
2013-07-21,72
2013-07-28,75
2013-08-04,71
2013-08-11,68
2013-08-18,71
2013-08-25,62
2013-09-01,66
2013-09-08,65
2013-09-15,61
2013-09-22,61
2013-09-29,61
2013-10-06,61
2013-10-13,64
2013-10-20,61
2013-10-27,59
2013-11-03,64
2013-11-10,63
2013-11-17,60
2013-11-24,46
2013-12-01,56
2013-12-08,54
2013-12-15,50
2013-12-22,53
2013-12-29,82
2014-01-05,100
2014-01-12,82
2014-01-19,77
2014-01-26,74
2014-02-02,71
2014-02-09,66
2014-02-16,74
2014-02-23,72
2014-03-02,76
2014-03-09,72
2014-03-16,71
2014-03-23,72
2014-03-30,72
2014-04-06,70
2014-04-13,69
2014-04-20,72
2014-04-27,71
2014-05-04,70
2014-05-11,69
2014-05-18,69
2014-05-25,68
2014-06-01,64
2014-06-08,64
2014-06-15,66
2014-06-22,65
2014-06-29,61
2014-07-06,63
2014-07-13,61
2014-07-20,64
2014-07-27,59
2014-08-03,61
2014-08-10,59
2014-08-17,56
2014-08-24,54
2014-08-31,58
2014-09-07,56
2014-09-14,55
2014-09-21,57
2014-09-28,57
2014-10-05,55
2014-10-12,55
2014-10-19,52
2014-10-26,53
2014-11-02,53
2014-11-09,51
2014-11-16,48
2014-11-23,40
2014-11-30,54
2014-12-07,50
2014-12-14,45
2014-12-21,41
2014-12-28,69
2015-01-04,84
2015-01-11,72
2015-01-18,67
2015-01-25,62
2015-02-01,60
2015-02-08,57
2015-02-15,59
2015-02-22,62
2015-03-01,65
2015-03-08,61
2015-03-15,63
2015-03-22,65
2015-03-29,61
2015-04-05,65
2015-04-12,66
2015-04-19,66
2015-04-26,64
2015-05-03,63
2015-05-10,61
2015-05-17,61
2015-05-24,62
2015-05-31,63
2015-06-07,65
2015-06-14,60
2015-06-21,60
2015-06-28,57
2015-07-05,61
2015-07-12,60
2015-07-19,63
2015-07-26,61
2015-08-02,60
2015-08-09,59
2015-08-16,59
2015-08-23,54
2015-08-30,53
2015-09-06,54
2015-09-13,54
2015-09-20,53
2015-09-27,53
2015-10-04,52
2015-10-11,53
2015-10-18,52
2015-10-25,52
2015-11-01,53
2015-11-08,49
2015-11-15,46
2015-11-22,38
2015-11-29,47
2015-12-06,45
2015-12-13,43
2015-12-20,41
2015-12-27,62
2016-01-03,81
2016-01-10,68
2016-01-17,67
2016-01-24,67
2016-01-31,66
2016-02-07,61
2016-02-14,59
2016-02-21,66
2016-02-28,65
2016-03-06,65
2016-03-13,61
2016-03-20,61
2016-03-27,64
2016-04-03,67
2016-04-10,65
2016-04-17,64
2016-04-24,64
2016-05-01,61
2016-05-08,60
2016-05-15,62
2016-05-22,59
2016-05-29,60
2016-06-05,60
2016-06-12,58
2016-06-19,59
2016-06-26,59
2016-07-03,58
2016-07-10,58
2016-07-17,57
2016-07-24,56
2016-07-31,59
2016-08-07,59
2016-08-14,57
2016-08-21,54
2016-08-28,54
2016-09-04,55
2016-09-11,54
2016-09-18,54
2016-09-25,52
2016-10-02,52
2016-10-09,49
2016-10-16,53
2016-10-23,49
2016-10-30,48
2016-11-06,43
2016-11-13,50
2016-11-20,41
2016-11-27,50
2016-12-04,48
2016-12-11,44
2016-12-18,40
2016-12-25,55
2017-01-01,82
2017-01-08,73
2017-01-15,69
2017-01-22,69
2017-01-29,75
2017-02-05,82
2017-02-12,70
2017-02-19,73
2017-02-26,71
2017-03-05,72
2017-03-12,70
2017-03-19,70
2017-03-26,69
2017-04-02,67
2017-04-09,64
2017-04-16,70
2017-04-23,71
2017-04-30,68
2017-05-07,67
2017-05-14,69
2017-05-21,65
2017-05-28,67
2017-06-04,69
2017-06-11,63
2017-06-18,67
2017-06-25,67
2017-07-02,67
2017-07-09,72
2017-07-16,70
2017-07-23,70
2017-07-30,68
2017-08-06,67
2017-08-13,63
2017-08-20,58
2017-08-27,57
2017-09-03,56
2017-09-10,56
2017-09-17,58
2017-09-24,59
2017-10-01,59
2017-10-08,60
2017-10-15,59
2017-10-22,59
2017-10-29,54
2017-11-05,57
2017-11-12,59
2017-11-19,47
2017-11-26,56
2017-12-03,53
2017-12-10,50
2017-12-17,48
2017-12-24,60
2017-12-31,91
2018-01-07,88
2018-01-14,78
2018-01-21,81
2018-01-28,81
2018-02-04,78
2018-02-11,70
2018-02-18,77
2018-02-25,80
2018-03-04,74
2018-03-11,75
2018-03-18,80
2018-03-25,87
2018-04-01,88
2018-04-08,83
2018-04-15,80
2018-04-22,83
2018-04-29,83
2018-05-06,82
2018-05-13,76
2018-05-20,83
