Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,33,47
2004-02,78,27,49
2004-03,68,25,49
2004-04,71,24,47
2004-05,74,23,43
2004-06,66,24,45
2004-07,63,25,48
2004-08,59,28,45
2004-09,57,26,45
2004-10,53,24,44
2004-11,51,24,44
2004-12,44,24,41
2005-01,65,33,45
2005-02,56,29,47
2005-03,58,26,46
2005-04,57,25,44
2005-05,61,25,45
2005-06,53,25,44
2005-07,54,26,44
2005-08,54,28,45
2005-09,47,27,46
2005-10,48,26,45
2005-11,43,26,43
2005-12,39,25,39
2006-01,63,34,44
2006-02,53,29,45
2006-03,52,28,49
2006-04,51,26,46
2006-05,51,26,45
2006-06,54,26,44
2006-07,50,27,44
2006-08,50,30,46
2006-09,47,30,46
2006-10,43,28,46
2006-11,43,27,45
2006-12,37,26,41
2007-01,58,37,49
2007-02,50,34,50
2007-03,51,32,47
2007-04,54,32,50
2007-05,48,33,48
2007-06,51,32,48
2007-07,50,31,51
2007-08,46,32,54
2007-09,45,32,50
2007-10,43,29,53
2007-11,39,28,51
2007-12,37,27,44
2008-01,54,36,54
2008-02,46,31,51
2008-03,45,29,50
2008-04,48,29,53
2008-05,45,27,49
2008-06,44,27,50
2008-07,45,28,51
2008-08,44,32,49
2008-09,42,32,63
2008-10,42,29,76
2008-11,41,30,59
2008-12,37,28,52
2009-01,54,37,55
2009-02,46,31,58
2009-03,50,29,62
2009-04,51,29,58
2009-05,48,30,55
2009-06,48,29,54
2009-07,48,29,58
2009-08,49,31,59
2009-09,45,31,60
2009-10,45,28,55
2009-11,42,28,53
2009-12,39,27,47
2010-01,61,36,52
2010-02,52,32,54
2010-03,51,30,55
2010-04,54,30,56
2010-05,51,29,52
2010-06,48,29,54
2010-07,49,31,51
2010-08,50,31,52
2010-09,48,32,53
2010-10,46,29,51
2010-11,43,28,49
2010-12,40,28,46
2011-01,60,40,49
2011-02,54,34,52
2011-03,54,34,52
2011-04,59,32,51
2011-05,59,33,50
2011-06,55,32,48
2011-07,55,32,49
2011-08,52,35,56
2011-09,50,36,52
2011-10,49,34,50
2011-11,48,35,48
2011-12,44,32,41
2012-01,64,43,46
2012-02,59,38,49
2012-03,57,35,48
2012-04,57,36,47
2012-05,54,34,49
2012-06,56,36,44
2012-07,56,38,47
2012-08,55,37,46
2012-09,52,38,48
2012-10,48,35,46
2012-11,45,34,43
2012-12,42,33,39
2013-01,64,44,48
2013-02,58,40,48
2013-03,58,39,45
2013-04,61,38,48
2013-05,58,37,48
2013-06,56,38,44
2013-07,56,38,45
2013-08,54,41,46
2013-09,52,42,49
2013-10,49,38,48
2013-11,46,38,45
2013-12,43,36,41
2014-01,63,48,48
2014-02,52,43,48
2014-03,55,43,47
2014-04,55,42,48
2014-05,51,40,44
2014-06,53,41,44
2014-07,48,39,46
2014-08,47,42,46
2014-09,48,43,50
2014-10,45,39,49
2014-11,42,38,43
2014-12,39,38,43
2015-01,58,51,45
2015-02,48,44,46
2015-03,53,45,47
2015-04,52,43,47
2015-05,50,44,45
2015-06,49,43,45
2015-07,47,43,48
2015-08,47,46,49
2015-09,44,45,50
2015-10,42,41,45
2015-11,40,42,42
2015-12,38,41,41
2016-01,54,53,44
2016-02,49,46,46
2016-03,48,47,44
2016-04,50,47,44
2016-05,48,45,42
2016-06,45,47,45
2016-07,45,58,42
2016-08,44,54,44
2016-09,43,51,45
2016-10,42,45,43
2016-11,38,46,45
2016-12,38,44,40
2017-01,56,59,42
2017-02,58,53,43
2017-03,50,51,45
2017-04,51,48,42
2017-05,50,48,45
2017-06,48,51,43
2017-07,53,53,44
2017-08,47,52,44
2017-09,45,51,49
2017-10,46,48,48
2017-11,43,48,49
2017-12,41,45,52
2018-01,60,59,56
2018-02,54,53,50
2018-03,55,50,49
2018-04,58,51,48
2018-05,56,49,46
2018-06,52,50,43
2018-07,52,52,42
