"sku","went_on_backorder"
3799238,"No"
3268515,"No"
2857331,"No"
3320909,"No"
3128606,"No"
3999778,"No"
4965679,"No"
3115477,"No"
2183637,"No"
4868951,"No"
3339874,"No"
3198297,"No"
3111818,"No"
2165359,"No"
3300663,"No"
3371542,"No"
2228222,"No"
3627950,"No"
2303004,"No"
3343580,"No"
3874958,"No"
3129576,"No"
4850685,"No"
2258780,"No"
3592102,"No"
3821939,"No"
3738882,"No"
3674488,"No"
3109207,"No"
2857680,"No"
3832823,"No"
3999616,"No"
3196678,"No"
4937358,"No"
3915193,"No"
3821285,"No"
4767875,"No"
3857209,"No"
2957256,"No"
4002415,"No"
2829864,"No"
3816130,"No"
4819960,"No"
3000743,"No"
4765929,"No"
3361383,"No"
2977817,"No"
3890945,"No"
2922254,"No"
2286528,"No"
3952363,"No"
3157315,"No"
3659325,"No"
2839901,"No"
3191982,"No"
3506612,"No"
3353161,"No"
3356462,"No"
4879155,"No"
4977749,"No"
3875813,"No"
2834175,"No"
3183328,"No"
4860688,"No"
3398658,"No"
3305995,"No"
3565818,"No"
3934749,"No"
3599808,"No"
2310978,"No"
3994746,"No"
3804338,"No"
3593064,"No"
4912497,"No"
4914192,"No"
2131585,"No"
2917896,"No"
2271910,"No"
2934878,"No"
3228962,"No"
4825486,"No"
3288125,"No"
3052578,"No"
2289078,"No"
2114196,"No"
3051967,"No"
3921028,"No"
3690357,"No"
4783032,"No"
2957210,"No"
3238494,"No"
3402155,"No"
3147378,"No"
3116238,"No"
3592004,"No"
3556370,"No"
3957691,"No"
3849150,"No"
3045133,"No"
3292957,"No"
3859948,"No"
2098865,"No"
3632807,"No"
3020196,"No"
4945075,"No"
3368016,"No"
2967228,"No"
4947558,"No"
3457924,"No"
3376042,"No"
3230290,"No"
3503946,"No"
2091945,"No"
2276478,"No"
4829816,"No"
3005111,"No"
3183987,"No"
3100966,"No"
3930960,"No"
3149036,"No"
3942390,"No"
3817190,"No"
3438206,"No"
2096687,"No"
2954208,"No"
3545929,"No"
3915759,"No"
3224295,"No"
3751843,"No"
2892267,"No"
3831931,"No"
2821394,"No"
4976675,"No"
2862026,"No"
4836068,"No"
3141775,"No"
3065766,"No"
3756486,"No"
4857778,"No"
3408190,"No"
3571107,"No"
3263182,"No"
3446565,"No"
3372239,"No"
3469800,"No"
3699227,"No"
4805109,"No"
2951349,"No"
3177568,"No"
2178865,"No"
2995719,"No"
2236295,"No"
2820892,"No"
2087938,"No"
