,sku,went_on_backorder
1,3799238,No
2,3268515,No
3,2857331,No
4,3320909,No
5,3128606,Yes
6,3999778,No
7,4965679,No
8,3115477,No
9,2183637,No
10,4868951,No
11,3339874,No
12,3198297,No
13,3111818,No
14,2165359,No
15,3300663,No
16,3371542,No
17,2228222,No
18,3627950,No
19,2303004,No
20,3343580,No
21,3874958,No
22,3129576,No
23,4850685,No
24,2258780,No
25,3592102,No
26,3821939,No
27,3738882,No
28,3674488,No
29,3109207,No
30,2857680,No
31,3832823,No
32,3999616,No
33,3196678,No
34,4937358,No
35,3915193,No
36,3821285,No
37,4767875,No
38,3857209,No
39,2957256,No
40,4002415,No
41,2829864,No
42,3816130,No
43,4819960,No
44,3000743,No
45,4765929,No
46,3361383,No
47,2977817,No
48,3890945,No
49,2922254,Yes
50,2286528,No
51,3952363,No
52,3157315,Yes
53,3659325,No
54,2839901,No
55,3191982,Yes
56,3506612,No
57,3353161,No
58,3356462,No
59,4879155,No
60,4977749,No
61,3875813,No
62,2834175,No
63,3183328,No
64,4860688,No
65,3398658,No
66,3305995,No
67,3565818,No
68,3934749,No
69,3599808,No
70,2310978,No
71,3994746,No
72,3804338,Yes
73,3593064,No
74,4912497,No
75,4914192,No
76,2131585,No
77,2917896,No
78,2271910,No
79,2934878,No
80,3228962,No
81,4825486,No
82,3288125,No
83,3052578,Yes
84,2289078,No
85,2114196,No
86,3051967,No
87,3921028,No
88,3690357,Yes
89,4783032,No
90,2957210,No
91,3238494,No
92,3402155,No
93,3147378,Yes
94,3116238,No
95,3592004,No
96,3556370,No
97,3957691,No
98,3849150,No
99,3045133,No
100,3292957,No
101,3859948,No
102,2098865,No
103,3632807,No
104,3020196,No
105,4945075,No
106,3368016,No
107,2967228,No
108,4947558,No
109,3457924,No
110,3376042,No
111,3230290,No
112,3503946,No
113,2091945,No
114,2276478,No
115,4829816,No
116,3005111,No
117,3183987,No
118,3100966,Yes
119,3930960,No
120,3149036,No
121,3942390,No
122,3817190,No
123,3438206,No
124,2096687,No
125,2954208,No
126,3545929,No
127,3915759,No
128,3224295,No
129,3751843,No
130,2892267,No
131,3831931,No
132,2821394,No
133,4976675,No
134,2862026,No
135,4836068,No
136,3141775,No
137,3065766,No
138,3756486,No
139,4857778,No
140,3408190,No
141,3571107,No
142,3263182,No
143,3446565,No
144,3372239,No
145,3469800,Yes
146,3699227,Yes
147,4805109,No
148,2951349,No
149,3177568,No
150,2178865,Yes
151,2995719,No
152,2236295,Yes
153,2820892,No
154,2087938,No
155,2212117,No
156,4906425,No
157,3480372,No
158,3070162,Yes
159,2188006,No
160,4860090,Yes
161,3141684,No
162,2985131,No
163,3210201,No
164,3739602,No
165,3461250,Yes
166,3398087,Yes
167,3967130,No
168,3991302,No
169,2311961,No
170,3914847,No
171,3460626,No
172,3995622,No
173,3598237,No
174,3478128,No
175,3745498,No
176,3080217,No
177,3268682,No
178,3536586,No
179,4843274,No
180,3238157,No
181,3273322,No
182,3129476,No
183,3160135,No
184,4790833,No
185,3170491,No
186,2972850,No
187,4977704,No
188,3657583,No
189,4787005,Yes
190,4919151,No
191,3515236,No
192,3221271,No
193,2284497,No
194,3242741,No
195,3938213,No
196,2292601,No
197,3773356,No
198,3489390,No
199,3679680,Yes
200,3852582,No
201,3418649,No
202,3089475,Yes
203,3104415,No
204,3235453,No
205,3321558,No
206,2201642,No
207,4817991,No
208,2877924,No
209,4986338,No
210,4786703,No
211,3054322,No
212,3799275,No
213,4745141,No
214,2894523,No
215,2263796,No
216,3434025,Yes
217,3492196,No
218,4745784,No
219,4763984,No
220,4007769,No
221,4822157,No
222,3491152,No
223,3073151,No
224,3075465,No
225,3746850,No
226,3462105,No
227,3481655,No
228,4961411,No
229,3216728,No
230,3968054,No
231,3996392,No
232,3218568,No
233,3335291,No
234,4835726,Yes
235,3586290,No
236,3299085,No
237,3950063,No
238,3206287,No
239,2941506,No
240,3698845,No
241,2995877,No
242,3346343,No
243,3984855,No
244,3697709,Yes
245,3878113,No
246,3735323,No
247,4941697,No
248,3555717,No
249,3007090,No
250,3576919,No
251,4935488,No
252,3222784,No
253,3388761,No
254,2849039,No
255,3982742,No
256,3609415,No
257,2863687,No
258,3462775,No
259,3837901,No
260,3931548,No
261,2927103,No
262,3643786,No
263,3388085,No
264,2206489,No
265,3171279,Yes
266,3709089,No
267,3818265,No
268,3455148,No
269,2192227,No
270,3751060,No
271,3650695,No
272,3835312,Yes
273,2195810,No
274,3300556,No
275,2806886,No
276,3448172,No
277,4010772,No
278,3513190,No
279,3249701,No
280,3822633,No
281,4890830,No
282,4916860,No
283,3472477,No
284,3766861,Yes
285,3799002,No
286,4872942,No
287,3090042,No
288,3897393,No
289,2244946,No
290,3746826,No
291,3109905,No
292,4959530,No
293,3668083,No
294,3483176,No
295,3452955,No
296,3284643,No
297,4764375,No
298,2201975,No
299,4005728,No
300,3041160,No
301,4826437,Yes
302,3460917,Yes
303,3791845,No
304,3276055,No
305,3726212,No
306,3397260,No
307,4754220,No
308,3565768,Yes
309,3168633,No
310,3208832,No
311,4795736,No
312,3170047,No
313,3643451,No
314,2961588,No
315,3381813,No
316,3214135,No
317,3787416,No
318,4817977,Yes
319,2882167,Yes
320,3366455,No
321,3977540,No
322,3258455,No
323,3935370,Yes
324,2957139,No
325,3721492,No
326,2917496,No
327,3531455,No
328,2159153,No
329,2956007,No
330,2273570,No
331,3450761,No
332,2207864,Yes
333,3555139,No
334,3709303,No
335,2896490,No
336,3941536,No
337,3019338,No
338,2079807,No
339,3476021,No
340,3106237,No
341,4763747,No
342,2992354,No
343,3562830,No
344,4778625,No
345,3460172,Yes
346,3114401,Yes
347,3499219,No
348,3822396,No
349,3176298,No
350,4974700,No
351,3205851,Yes
352,4827692,No
353,3773515,No
354,3254449,No
355,2967249,No
356,3780003,No
357,2147284,No
358,3115203,Yes
359,4966410,No
360,4780341,No
361,4937130,No
362,3357319,No
363,3407881,Yes
364,4881125,No
365,2835238,No
366,3562106,Yes
367,2206461,No
368,2186094,No
369,2125885,No
370,2179159,No
371,2838658,No
372,3225990,No
373,4004665,No
374,2257229,No
375,3406793,No
376,3647849,No
377,3645599,No
378,3310990,No
379,3413146,No
380,2103834,No
381,3841888,No
382,3187345,No
383,2838378,No
384,3043638,No
385,3667524,No
386,4933608,No
